x_value,total_1,total_2
468,1259,1217
469,1257,1219
470,1263,1216
471,1262,1218
472,1267,1219
473,1266,1224
474,1273,1224
475,1272,1222
476,1271,1217
477,1265,1221
478,1273,1216
479,1280,1216
480,1275,1219
481,1270,1225
482,1269,1220
483,1277,1215
484,1276,1210
485,1279,1207
486,1281,1207
487,1286,1210
488,1286,1215
489,1281,1218
490,1282,1218
491,1279,1215
492,1277,1221
493,1278,1224
494,1274,1221
495,1270,1216
496,1273,1212
497,1273,1218
498,1280,1218
499,1284,1221
500,1287,1222
501,1289,1226
502,1297,1231
503,1293,1229
504,1289,1226
505,1287,1229
506,1290,1230
507,1293,1235
508,1290,1234
509,1294,1235
510,1297,1240
511,1291,1236
512,1299,1238
513,1307,1239
514,1302,1242
515,1307,1240
516,1308,1237
517,1304,1235
518,1309,1234
519,1306,1234
520,1313,1236
521,1319,1234
522,1314,1232
523,1320,1234
524,1325,1238
525,1322,1233
526,1325,1234
527,1326,1238
528,1334,1233
529,1335,1230
530,1340,1231
531,1346,1232
532,1343,1231
533,1344,1237
534,1340,1236
535,1347,1232
536,1348,1236
537,1344,1231
538,1345,1228
539,1344,1225
540,1346,1229
541,1344,1224
542,1346,1223
543,1347,1228
544,1354,1224
545,1350,1221
546,1355,1227
547,1357,1223
548,1357,1229
549,1362,1231
550,1359,1231
551,1361,1237
552,1361,1235
553,1359,1241
554,1356,1239
555,1357,1244
556,1357,1250
557,1359,1245
558,1367,1241
559,1362,1246
560,1359,1251
561,1364,1257
562,1372,1258
563,1377,1255
564,1375,1257
565,1377,1256
566,1379,1253
567,1374,1255
568,1376,1253
569,1378,1256
570,1377,1259
571,1384,1257
572,1381,1263
573,1382,1265
574,1376,1264
575,1373,1264
576,1371,1262
577,1366,1259
578,1365,1254
579,1361,1253
580,1357,1259
581,1353,1254
582,1348,1253
583,1342,1251
584,1340,1255
585,1334,1255
586,1342,1251
587,1341,1251
588,1342,1252
589,1337,1255
590,1335,1254
591,1342,1259
592,1344,1258
593,1344,1254
594,1351,1249
595,1351,1247
596,1347,1245
597,1355,1241
598,1362,1239
599,1365,1241
600,1362,1243
601,1363,1241
602,1369,1245
603,1375,1242
604,1382,1239
605,1381,1240
606,1380,1245
607,1383,1241
608,1385,1242
609,1392,1244
610,1397,1239
611,1402,1236
612,1399,1231
613,1400,1228
614,1397,1233
615,1394,1228
616,1402,1232
617,1405,1228
618,1413,1232
619,1421,1229
620,1417,1234
621,1423,1238
622,1427,1240
623,1433,1245
624,1431,1245
625,1425,1247
626,1420,1245
627,1419,1248
628,1426,1251
629,1429,1255
630,1431,1255
631,1431,1254
632,1430,1260
633,1427,1260
634,1431,1257
635,1435,1262
636,1442,1268
637,1448,1266
638,1453,1272
639,1449,1273
640,1444,1273
641,1445,1277
642,1449,1280
643,1452,1280
644,1454,1282
645,1455,1278
646,1462,1276
647,1468,1272
648,1471,1273
649,1469,1272
650,1465,1278
651,1466,1282
652,1472,1279
653,1468,1281
654,1471,1282
655,1468,1284
656,1474,1280
657,1481,1277
658,1485,1275
659,1493,1276
660,1492,1281
661,1491,1280
662,1499,1284
663,1498,1284
664,1504,1281
665,1511,1280
666,1519,1275
667,1521,1272
668,1521,1267
669,1518,1269
670,1526,1271
671,1533,1272
672,1539,1270
673,1535,1269
674,1537,1270
675,1531,1265
676,1532,1261
677,1539,1265
678,1533,1267
679,1540,1270
680,1544,1270
681,1544,1265
682,1538,1261
683,1532,1262
684,1529,1257
685,1524,1254
686,1523,1256
687,1527,1258
688,1533,1264
689,1531,1269
690,1528,1272
691,1531,1271
692,1533,1269
693,1535,1274
694,1541,1277
695,1542,1277
696,1543,1278
697,1547,1274
698,1552,1271
699,1551,1275
700,1546,1270
701,1540,1275
702,1544,1274
703,1541,1271
704,1538,1268
705,1543,1267
706,1542,1271
707,1548,1272
708,1552,1269
709,1556,1270
710,1563,1266
711,1569,1263
712,1571,1263
713,1570,1264
714,1568,1266
715,1572,1267
716,1577,1268
717,1575,1266
718,1572,1262
719,1576,1268
720,1576,1272
721,1576,1277
722,1572,1277
723,1572,1273
724,1571,1268
725,1565,1267
726,1573,1263
727,1567,1262
728,1570,1268
729,1573,1271
730,1568,1270
731,1569,1274
732,1566,1270
733,1573,1272
734,1568,1276
735,1576,1281
736,1584,1278
737,1578,1283
738,1575,1283
739,1572,1288
740,1567,1294
741,1565,1300
742,1561,1303
743,1569,1300
744,1567,1302
745,1566,1298
746,1563,1294
747,1564,1297
748,1563,1292
749,1561,1287
750,1562,1289
751,1561,1291
752,1562,1292
753,1557,1295
754,1558,1301
755,1560,1305
756,1561,1310
757,1566,1314
758,1564,1320
759,1561,1315
760,1559,1311
761,1556,1306
762,1557,1306
763,1560,1310
764,1561,1307
765,1562,1311
766,1562,1314
767,1558,1320
768,1553,1322
769,1556,1323
770,1550,1319
771,1553,1325
772,1551,1328
773,1555,1324
774,1552,1326
775,1558,1324
776,1562,1330
777,1562,1336
778,1561,1336
779,1555,1331
780,1562,1326
781,1569,1328
782,1566,1323
783,1572,1319
784,1569,1325
785,1571,1327
786,1578,1330
787,1583,1330
788,1581,1326
789,1578,1326
790,1585,1332
791,1579,1327
792,1577,1325
793,1571,1330
794,1576,1335
795,1573,1341
796,1581,1347
797,1587,1352
798,1583,1358
799,1583,1354
800,1584,1353
801,1586,1355
802,1592,1361
803,1588,1361
804,1582,1363
805,1578,1358
806,1578,1356
807,1573,1353
808,1578,1354
809,1585,1351
810,1584,1347
811,1592,1350
812,1597,1346
813,1600,1347
814,1605,1345
815,1599,1349
816,1605,1346
817,1606,1350
818,1610,1354
819,1611,1349
820,1611,1351
821,1618,1353
822,1615,1349
823,1618,1352
824,1623,1348
825,1621,1347
826,1618,1351
827,1619,1357
828,1613,1359
829,1617,1356
830,1615,1357
831,1614,1362
832,1611,1365
833,1613,1365
834,1613,1371
835,1611,1375
836,1605,1381
837,1599,1377
838,1604,1383
839,1609,1378
840,1606,1376
841,1613,1377
842,1612,1379
843,1609,1385
844,1616,1385
845,1613,1386
846,1608,1385
847,1616,1389
848,1622,1393
849,1628,1390
850,1626,1395
851,1626,1400
852,1632,1404
853,1640,1402
854,1640,1406
855,1648,1406
856,1654,1402
857,1650,1398
858,1647,1402
859,1652,1403
860,1655,1405
861,1652,1409
862,1651,1413
863,1645,1416
864,1650,1417
865,1654,1412
866,1648,1411
867,1651,1410
868,1648,1407
869,1654,1413
870,1653,1419
871,1648,1424
872,1649,1426
873,1655,1423
874,1650,1428
875,1648,1425
876,1655,1431
877,1660,1426
878,1662,1423
879,1661,1424
880,1662,1425
881,1656,1422
882,1660,1418
883,1654,1418
884,1660,1414
885,1667,1412
886,1672,1418
887,1680,1424
888,1674,1427
889,1678,1427
890,1676,1423
891,1679,1426
892,1681,1429
893,1675,1434
894,1675,1437
895,1682,1432
896,1679,1432
897,1685,1437
898,1688,1433
899,1682,1437
900,1677,1440
901,1673,1441
902,1673,1447
903,1669,1448
904,1669,1450
905,1664,1453
906,1660,1453
907,1655,1448
908,1654,1446
909,1658,1442
910,1656,1439
911,1664,1435
912,1660,1430
913,1656,1436
914,1656,1437
915,1656,1432
916,1651,1432
917,1649,1436
918,1651,1440
919,1645,1435
920,1642,1434
921,1640,1429
922,1638,1424
923,1640,1424
924,1635,1422
925,1631,1426
926,1628,1426
927,1636,1421
928,1640,1424
929,1642,1425
930,1645,1430
931,1646,1430
932,1649,1436
933,1656,1438
934,1659,1439
935,1661,1438
936,1667,1444
937,1673,1447
938,1667,1447
939,1670,1443
940,1667,1447
941,1666,1442
942,1672,1444
943,1675,1442
944,1681,1442
945,1678,1441
946,1675,1445
947,1675,1442
948,1677,1437
949,1685,1436
950,1683,1434
951,1682,1432
952,1678,1433
953,1679,1430
954,1686,1434
955,1694,1433
956,1691,1435
957,1696,1437
958,1701,1433
959,1705,1433
960,1709,1435
961,1706,1438
962,1701,1435
963,1705,1432
964,1707,1434
965,1710,1440
966,1708,1444
967,1704,1444
968,1702,1446
969,1706,1446
970,1707,1446
971,1701,1442
972,1707,1445
973,1704,1449
974,1706,1447
975,1712,1451
976,1720,1456
977,1714,1456
978,1718,1453
979,1716,1449
980,1722,1450
981,1727,1455
982,1731,1451
983,1730,1452
984,1731,1451
985,1735,1453
986,1742,1458
987,1737,1459
988,1740,1462
989,1738,1463
990,1732,1461
991,1737,1460
992,1734,1455
993,1734,1454
994,1735,1449
995,1731,1449
996,1725,1444
997,1726,1441
998,1726,1441
999,1733,1443
1000,1738,1438
1001,1738,1440
1002,1741,1435
1003,1739,1436
1004,1747,1440
1005,1747,1444
1006,1753,1443
1007,1756,1439
1008,1756,1443
1009,1758,1447
1010,1758,1443
1011,1762,1440
1012,1757,1437
1013,1756,1443
1014,1762,1445
1015,1765,1448
1016,1772,1449
1017,1778,1447
1018,1779,1442
1019,1781,1437
1020,1775,1435
1021,1772,1435
1022,1778,1434
1023,1775,1439
1024,1770,1443
1025,1770,1446
1026,1777,1450
1027,1781,1450
1028,1789,1455
1029,1793,1458
1030,1792,1462
1031,1791,1459
1032,1785,1456
1033,1792,1460
1034,1788,1466
1035,1790,1468
1036,1791,1465
1037,1790,1467
1038,1792,1472
1039,1798,1476
1040,1793,1471
1041,1794,1468
1042,1797,1467
1043,1793,1470
1044,1792,1473
1045,1789,1469
1046,1796,1470
1047,1791,1475
1048,1785,1476
1049,1786,1475
1050,1789,1474
1051,1793,1474
1052,1794,1474
1053,1793,1480
1054,1791,1481
1055,1797,1479
1056,1795,1479
1057,1796,1479
1058,1796,1478
1059,1804,1484
1060,1800,1488
1061,1797,1487
1062,1795,1489
1063,1792,1495
1064,1795,1490
1065,1797,1491
1066,1805,1496
1067,1799,1498
1068,1807,1502
1069,1814,1500
1070,1818,1495
1071,1813,1491
1072,1817,1488
1073,1821,1494
1074,1826,1500
1075,1825,1495
1076,1828,1498
1077,1830,1496
1078,1838,1499
1079,1845,1503
1080,1850,1503
1081,1858,1504
1082,1859,1502
1083,1864,1503
1084,1865,1509
1085,1863,1509
1086,1864,1507
1087,1870,1504
1088,1870,1508
1089,1873,1505
1090,1872,1507
1091,1879,1508
1092,1874,1504
1093,1880,1509
1094,1877,1508
1095,1885,1509
1096,1889,1512
1097,1888,1518
1098,1893,1524
1099,1901,1519
1100,1904,1518
1101,1905,1518
1102,1903,1524
1103,1902,1527
1104,1902,1533
1105,1904,1532
1106,1905,1531
1107,1911,1528
1108,1913,1529
1109,1913,1531
1110,1915,1531
1111,1916,1533
1112,1924,1535
1113,1922,1539
1114,1920,1536
1115,1927,1536
1116,1929,1538
1117,1934,1542
1118,1938,1546
1119,1939,1541
1120,1941,1537
1121,1943,1540
1122,1948,1540
1123,1947,1546
1124,1944,1547
1125,1949,1548
1126,1948,1545
1127,1950,1540
1128,1958,1537
1129,1966,1536
1130,1969,1537
1131,1970,1539
1132,1965,1539
1133,1963,1541
1134,1963,1547
1135,1963,1546
1136,1961,1544
1137,1960,1550
1138,1961,1546
1139,1957,1544
1140,1953,1550
1141,1958,1552
1142,1953,1551
1143,1955,1549
1144,1958,1551
1145,1959,1547
1146,1962,1546
1147,1965,1545
1148,1967,1548
1149,1962,1545
1150,1967,1544
1151,1966,1546
1152,1965,1541
1153,1967,1537
1154,1961,1534
1155,1968,1538
1156,1976,1535
1157,1979,1536
1158,1980,1542
1159,1980,1541
1160,1979,1547
1161,1980,1550
1162,1980,1550
1163,1980,1545
1164,1985,1543
1165,1991,1547
1166,1991,1544
1167,1990,1540
1168,1996,1540
1169,1992,1543
1170,1992,1543
1171,1999,1546
1172,1993,1543
1173,2001,1545
1174,1996,1549
1175,1999,1547
1176,1997,1548
1177,1997,1550
1178,1992,1554
1179,2000,1556
1180,1995,1560
1181,1994,1560
1182,2000,1558
1183,2002,1562
1184,2000,1559
1185,1998,1557
1186,2005,1554
1187,1999,1550
1188,1996,1554
1189,1998,1550
1190,1993,1549
1191,1987,1550
1192,1985,1547
1193,1984,1552
1194,1988,1548
1195,1994,1547
1196,2001,1545
1197,2003,1546
1198,2006,1550
1199,2008,1552
1200,2012,1558
1201,2007,1560
1202,2009,1558
1203,2007,1556
1204,2008,1556
1205,2006,1556
1206,2010,1551
1207,2006,1546
1208,2004,1545
1209,2010,1546
1210,2006,1542
1211,2002,1545
1212,2010,1544
1213,2005,1546
1214,2005,1550
1215,2001,1552
1216,2003,1558
1217,1997,1561
1218,1998,1556
1219,2004,1554
1220,2003,1558
1221,2001,1564
1222,2001,1565
1223,2009,1564
1224,2007,1569
1225,2013,1575
1226,2010,1575
1227,2018,1570
1228,2012,1574
1229,2013,1580
1230,2012,1584
1231,2020,1583
1232,2018,1588
1233,2022,1591
1234,2030,1587
1235,2030,1585
1236,2028,1586
1237,2028,1584
1238,2034,1586
1239,2040,1591
1240,2045,1590
1241,2045,1585
1242,2050,1590
1243,2058,1595
1244,2063,1600
1245,2062,1603
1246,2063,1600
1247,2070,1605
1248,2064,1607
1249,2062,1613
1250,2065,1610
1251,2073,1606
1252,2072,1608
1253,2080,1610
1254,2087,1613
1255,2092,1610
1256,2094,1609
1257,2102,1611
1258,2104,1610
1259,2109,1606
1260,2112,1607
1261,2119,1606
1262,2118,1601
1263,2112,1604
1264,2118,1601
1265,2112,1600
1266,2112,1606
1267,2113,1612
1268,2114,1613
1269,2108,1616
1270,2113,1619
1271,2117,1619
1272,2112,1620
1273,2119,1623
1274,2117,1629
1275,2124,1627
1276,2125,1624
1277,2129,1625
1278,2134,1629
1279,2131,1624
1280,2138,1619
1281,2143,1623
1282,2144,1618
1283,2146,1617
1284,2148,1623
1285,2155,1622
1286,2159,1617
1287,2166,1618
1288,2171,1622
1289,2169,1626
1290,2175,1626
1291,2170,1626
1292,2178,1627
1293,2183,1623
1294,2183,1620
1295,2177,1626
1296,2181,1623
1297,2181,1620
1298,2183,1625
1299,2181,1631
1300,2178,1634
1301,2183,1634
1302,2189,1633
1303,2184,1630
1304,2189,1632
1305,2192,1627
1306,2186,1622
1307,2181,1626
1308,2183,1630
1309,2185,1636
1310,2189,1634
1311,2192,1637
1312,2186,1632
1313,2192,1628
1314,2195,1630
1315,2192,1630
1316,2195,1632
1317,2189,1634
1318,2183,1632
1319,2187,1630
1320,2188,1633
1321,2196,1631
1322,2198,1631
1323,2202,1634
1324,2199,1630
1325,2196,1628
1326,2194,1623
1327,2197,1624
1328,2200,1626
1329,2198,1622
1330,2198,1620
1331,2200,1622
1332,2201,1627
1333,2202,1632
1334,2209,1631
1335,2209,1633
1336,2209,1628
1337,2209,1624
1338,2212,1627
1339,2217,1628
1340,2225,1629
1341,2225,1635
1342,2230,1638
1343,2237,1639
1344,2240,1634
1345,2244,1637
1346,2238,1640
1347,2235,1642
1348,2233,1637
1349,2235,1641
1350,2240,1646
1351,2239,1641
1352,2241,1644
1353,2237,1641
1354,2242,1637
1355,2249,1634
1356,2248,1633
1357,2252,1633
1358,2252,1630
1359,2255,1630
1360,2261,1630
1361,2263,1627
1362,2257,1625
1363,2255,1622
1364,2253,1619
1365,2260,1614
1366,2264,1610
1367,2269,1615
1368,2277,1619
1369,2279,1625
1370,2284,1627
1371,2292,1630
1372,2293,1635
1373,2287,1639
1374,2282,1643
1375,2290,1646
1376,2297,1643
1377,2295,1640
1378,2299,1643
1379,2302,1639
1380,2310,1636
1381,2312,1633
1382,2317,1634
1383,2323,1630
1384,2317,1630
1385,2322,1632
1386,2330,1628
1387,2332,1628
1388,2328,1631
1389,2328,1637
1390,2328,1643
1391,2327,1646
1392,2326,1644
1393,2326,1640
1394,2332,1644
1395,2336,1643
1396,2343,1647
1397,2339,1644
1398,2343,1646
1399,2337,1645
1400,2338,1642
1401,2342,1637
1402,2342,1635
1403,2340,1640
1404,2347,1639
1405,2342,1644
1406,2342,1646
1407,2346,1651
1408,2344,1653
1409,2348,1653
1410,2355,1656
1411,2360,1657
1412,2365,1656
1413,2361,1655
1414,2356,1653
1415,2363,1650
1416,2358,1645
1417,2354,1646
1418,2352,1645
1419,2351,1641
1420,2354,1646
1421,2353,1647
1422,2357,1642
1423,2354,1637
1424,2353,1642
1425,2355,1640
1426,2361,1639
1427,2357,1645
1428,2362,1650
1429,2370,1652
1430,2377,1654
1431,2380,1655
1432,2383,1652
1433,2378,1648
1434,2381,1647
1435,2383,1645
1436,2387,1646
1437,2387,1650
1438,2389,1645
1439,2385,1643
1440,2385,1638
1441,2388,1637
1442,2386,1632
1443,2389,1631
1444,2384,1627
1445,2390,1624
1446,2387,1627
1447,2382,1628
1448,2388,1626
1449,2388,1629
1450,2392,1634
1451,2396,1636
1452,2404,1642
1453,2408,1643
1454,2404,1641
1455,2408,1645
1456,2413,1647
1457,2410,1649
1458,2413,1644
1459,2408,1646
1460,2404,1644
1461,2401,1650
1462,2396,1645
1463,2401,1642
1464,2399,1645
1465,2405,1650
1466,2402,1652
1467,2401,1653
1468,2409,1655
1469,2404,1650
1470,2411,1646
1471,2415,1650
1472,2411,1650
1473,2417,1654
1474,2422,1656
1475,2421,1652
1476,2422,1655
1477,2419,1657
1478,2413,1655
1479,2420,1652
1480,2419,1649
1481,2420,1655
1482,2419,1656
1483,2424,1659
1484,2427,1661
1485,2426,1659
1486,2429,1660
1487,2428,1659
1488,2435,1656
1489,2437,1660
1490,2442,1665
1491,2441,1671
1492,2437,1668
1493,2435,1666
1494,2443,1663
1495,2447,1666
1496,2447,1667
1497,2451,1673
1498,2445,1676
1499,2453,1678
1500,2457,1679
1501,2453,1685
1502,2449,1688
1503,2445,1686
1504,2450,1682
1505,2444,1680
1506,2452,1679
1507,2447,1678
1508,2450,1676
1509,2451,1673
1510,2459,1679
1511,2461,1684
1512,2460,1690
1513,2467,1691
1514,2470,1688
1515,2466,1694
1516,2468,1691
1517,2468,1690
1518,2471,1690
1519,2470,1685
1520,2475,1681
1521,2480,1681
1522,2488,1678
1523,2488,1682
1524,2492,1679
1525,2495,1682
1526,2494,1688
1527,2501,1691
1528,2509,1692
1529,2513,1694
1530,2512,1693
1531,2512,1695
1532,2506,1700
1533,2507,1704
1534,2515,1708
1535,2509,1708
1536,2517,1711
1537,2522,1712
1538,2524,1711
1539,2525,1708
1540,2520,1713
1541,2526,1714
1542,2530,1716
1543,2525,1714
1544,2532,1716
1545,2538,1720
1546,2541,1724
1547,2538,1722
1548,2540,1717
1549,2547,1722
1550,2551,1727
1551,2546,1722
1552,2544,1728
1553,2550,1732
1554,2547,1733
1555,2555,1728
1556,2559,1731
1557,2565,1728
1558,2571,1723
1559,2571,1722
1560,2575,1726
1561,2576,1722
1562,2582,1723
1563,2582,1726
1564,2590,1722
1565,2584,1726
1566,2592,1732
1567,2589,1732
1568,2588,1731
1569,2590,1734
1570,2592,1737
1571,2596,1738
1572,2595,1736
1573,2597,1739
1574,2596,1735
1575,2592,1731
1576,2589,1734
1577,2586,1733
1578,2585,1728
1579,2589,1724
1580,2585,1721
1581,2586,1721
1582,2594,1726
1583,2596,1723
1584,2600,1724
1585,2605,1723
1586,2612,1728
1587,2616,1731
1588,2610,1731
1589,2616,1733
1590,2620,1738
1591,2617,1735
1592,2615,1737
1593,2622,1735
1594,2616,1739
1595,2615,1736
1596,2615,1742
1597,2618,1737
1598,2625,1742
1599,2623,1739
1600,2626,1742
1601,2620,1744
1602,2617,1740
1603,2616,1742
1604,2624,1741
1605,2623,1744
1606,2617,1746
1607,2618,1741
1608,2618,1739
1609,2618,1744
1610,2616,1740
1611,2621,1741
1612,2624,1747
1613,2625,1747
1614,2628,1745
1615,2634,1740
1616,2629,1738
1617,2630,1734
1618,2636,1732
1619,2643,1728
1620,2647,1728
1621,2650,1730
1622,2658,1726
1623,2659,1724
1624,2664,1721
1625,2658,1726
1626,2665,1725
1627,2661,1730
1628,2664,1733
1629,2672,1729
1630,2670,1724
1631,2673,1729
1632,2681,1729
1633,2687,1729
1634,2695,1735
1635,2694,1740
1636,2695,1742
1637,2699,1739
1638,2700,1738
1639,2699,1740
1640,2698,1735
1641,2696,1740
1642,2691,1745
1643,2697,1745
1644,2701,1742
1645,2703,1745
1646,2706,1747
1647,2702,1748
1648,2706,1744
1649,2705,1747
1650,2706,1743
1651,2705,1746
1652,2705,1742
1653,2703,1744
1654,2711,1746
1655,2715,1742
1656,2716,1747
1657,2721,1749
1658,2725,1746
1659,2727,1750
1660,2730,1754
1661,2729,1760
1662,2737,1764
1663,2738,1766
1664,2741,1761
1665,2745,1765
1666,2741,1766
